Delta_hat,empirical_final_gap,empirical_gap_slope,experiment,final_pair_misordering,frequency_auc,k_on,master_seed,nu_c1_hat,nu_n0_hat,nu_n1_hat,predicted_final_gap,q_c1_hat,q_n0_hat,q_n1_hat,realized_R_exp,realized_p_on,requested_R_exp,requested_p_on,score_auc,slope_relative_error,stage_seed,status
0.00418252238589882,16.936730307734884,0.004126921612376494,controlled_matched_exposure_divergence,0.0,0.556595,400,27014,0.13108410396458672,-1.869624725392145e-05,0.13094540479456962,16.73008954359528,0.2,0.03995389915440025,0.0399594175960347,1.0098858059423708,0.20175,1.0,0.2,1.0,0.013293598549473817,391807711,OK
0.004229809595582059,15.913433422968609,0.004042253429839315,controlled_matched_exposure_divergence,0.0,0.27481,400,27015,0.13098709327213923,0.00042265683196622956,0.13086097539805722,16.919238382328235,0.2,0.04000044780728845,0.04005629921259843,0.952236052069317,0.1905,1.0,0.2,1.0,0.04434151502673825,2909534298,OK
0.004255819596054439,16.17050906834333,0.004012376113455829,controlled_matched_exposure_divergence,0.0,0.301025,400,27016,0.1314675743684446,-0.000142429158493097,0.13140542340885128,17.023278384217758,0.2,0.04000914294554456,0.0400451171875,0.9596149544995071,0.192,1.0,0.2,1.0,0.05720249110754285,602723664,OK
0.004327927839435435,16.00912974879876,0.0039249122694784986,controlled_matched_exposure_divergence,0.0,0.219645,400,27017,0.13303249952217153,-0.00018738854588999006,0.13297298386027243,17.31171135774174,0.2,0.03998545706371191,0.04002190412782956,0.9389307441682524,0.18775,1.0,0.2,1.0,0.09311975266424694,480109325,OK
0.0040916832655291955,17.417702755040125,0.004439670899357371,controlled_matched_exposure_divergence,0.0,0.748095,400,27018,0.12954107892023017,0.00011069500964571332,0.12939281773642172,16.366733062116783,0.2,0.040010810383032606,0.04003989298454221,1.0508053779744444,0.21025,1.0,0.2,1.0,0.08504754919810956,2195399581,OK
0.004265918432405499,16.530467313748957,0.004077542408215527,controlled_matched_exposure_divergence,0.0,0.37487499999999996,400,27019,0.13242930467044178,-0.0001019201913947636,0.13238596911175957,17.063673729621996,0.2,0.03998564110524682,0.039903016688061614,0.9744918319070393,0.19475,1.0,0.2,1.0,0.04415837460908712,1816797672,OK
0.004117081673314668,16.629613717951507,0.0041969907290775234,controlled_matched_exposure_divergence,0.0,0.543555,400,27020,0.1286356272670438,-0.00026872457537157647,0.12857142180413678,16.46832669325867,0.2,0.04000281778334377,0.039957940446650124,1.007656816592082,0.2015,1.0,0.2,1.0,0.019409150000787037,2822243415,OK
0.004190523327382801,16.908555379162827,0.004080802437508707,controlled_matched_exposure_divergence,0.0,0.54294,400,27021,0.13071573764640607,-0.0004123151824511984,0.13058567326966614,16.762093309531206,0.2,0.040001894176581086,0.0400514888337469,1.0072006725501266,0.2015,1.0,0.2,1.0,0.026183099651809053,2118394301,OK
0.004181559541279055,15.984923746135724,0.004042355173930786,controlled_matched_exposure_divergence,0.0,0.325315,400,27022,0.12959498760044047,6.564024055423142e-05,0.12948552088055998,16.72623816511622,0.2,0.03998645091359554,0.03996809338521401,0.9641618779022163,0.19275,1.0,0.2,1.0,0.033290059838700654,2881259409,OK
0.004155225695615625,17.277044549698747,0.004278145408815203,controlled_matched_exposure_divergence,0.0,0.661875,400,27023,0.13055468495429579,-0.00033528962358682606,0.13044349175702025,16.6209027824625,0.2,0.039976645669291336,0.04002230303030303,1.0316094514182286,0.20625,1.0,0.2,1.0,0.029581958286712534,102106115,OK
