frequency_auc,k_on,master_seed,matched_pair_misordering,mean_active_increment,mean_coalition_score,mean_inactive_increment,mean_normal_score,mean_score_gap,mean_signed_increment,realized_R_exp,realized_p_on,requested_R_exp,requested_p_on,score_auc
0.49679,160,27001,0.0,0.04710878487606763,7.518562066220394,0.0004165552606120311,3.7805792588339266,3.737982807386467,0.023704304781320514,0.9981391209558872,0.49875,1.0,0.5,1.0
0.545995075,133,27001,0.0,0.03620524801727934,5.833733510400211,0.0005962005841124257,3.535033698570561,2.2986998118296498,0.022166381066753282,1.0077046208650478,0.60575,1.0,0.6,0.999983625
0.5299385,114,27001,0.0055,0.028586231247445963,4.591691980352255,0.00042118966486692305,3.233165485724442,1.3585264946278133,0.02026346145979386,1.0045557295906034,0.7045,1.0,0.7,0.9957237000000001
0.62072,100,27001,0.0605,0.022607528363404347,3.6974612638347804,0.0008544743416985146,2.9716577460692903,0.72580351776549,0.018643034267948458,1.0228424387990933,0.81775,1.0,0.8,0.9430000000000001
0.5735929624999999,89,27001,0.257,0.018699831299474293,3.029830816381674,0.000673383149693693,2.723543218448597,0.306287597933077,0.01708195757803149,1.013301954908002,0.91025,1.0,0.9,0.7521889749999999
0.50975,80,27001,0.503,0.015330651268998255,2.452904203039721,nan,2.4455875735622956,0.007316629477425174,0.015330651268998255,1.000640722762794,1.0,1.0,1.0,0.508204
0.9999,1000,27001,0.0,0.2488022854485932,51.62647423058308,0.00021240795501591657,4.139537204554683,47.48693702602839,0.026003607744974563,1.2977059373329984,0.10375,1.25,0.1,1.0
0.9996812500000001,500,27001,0.0,0.15746390169551414,31.847074117917742,0.00022290255188476667,5.110004620484662,26.73706949743308,0.03202489462868381,1.2648724136173444,0.20225,1.25,0.2,1.0
0.999731475,333,27001,0.0,0.10997638898810491,22.39443710145331,0.00029441047471431223,5.393877745113775,17.000559356339537,0.03382967540518348,1.273499812848915,0.30575,1.25,0.3,1.0
0.999575,250,27001,0.0,0.0824598695825723,16.574433786097032,0.00036700730377154555,5.3219112124334575,11.252522573663574,0.033368337939849446,1.25705490797076,0.402,1.25,0.4,1.0
0.9993875,200,27001,0.0,0.06248579933704452,12.46591696774038,0.0004165552606120311,5.006241432606217,7.4596755351341635,0.031373590743732735,1.247673901194859,0.49875,1.25,0.5,1.0
0.9996830125,167,27001,0.0,0.049718779427296876,10.059128313120418,0.0005962005841124257,4.843105838491702,5.216022474628716,0.03035220271837141,1.2653133209358118,0.60575,1.25,0.6,1.0
0.9996237,143,27001,0.0,0.03972494887012449,8.004060772994773,0.00042118966486692305,4.484779262101944,3.519281510892829,0.028110688024970878,1.2601006081706694,0.7045,1.25,0.7,1.0
0.9997828125,125,27001,0.0,0.03237373905478878,6.618406278013382,0.0008544743416985146,4.248340734209949,2.3700655438034337,0.026629353060828084,1.278553048498867,0.81775,1.25,0.8,1.0
0.9996768875,111,27001,0.006,0.026547425746634618,5.364584331464063,0.000673383149693693,3.8660495776890778,1.4985347537749854,0.024225230423559167,1.2637810898290813,0.91025,1.25,0.9,0.994271875
0.9994500000000001,100,27001,0.043,0.022466633326698446,4.49332666533969,nan,3.5847476227154793,0.9085790426242104,0.022466633326698446,1.2508009034534926,1.0,1.25,1.0,0.9586525
