seed,reference_length,selected_lambda,mean_d_cf,counterfactual_score_auc,positive_pair_fraction,paired_misordering_probability,mean_paired_score_gap
11,60,20.0,0.05270817144594509,0.7,0.7,0.3,0.42166537156756073
11,90,20.0,0.07752169932700882,0.756,0.756,0.244,0.6201735946160705
11,120,20.0,0.09489276878869068,0.804,0.804,0.196,0.7591421503095255
12,60,20.0,0.030861388391047396,0.604,0.604,0.396,0.2468911071283791
12,90,20.0,0.052949072236801877,0.708,0.708,0.292,0.423592577894415
12,120,20.0,0.07087671797228143,0.748,0.748,0.252,0.5670137437782513
13,60,20.0,0.028028244015233957,0.592,0.592,0.408,0.22422595212187169
13,90,20.0,0.048946715183583914,0.648,0.648,0.352,0.3915737214686713
13,120,20.0,0.06878776079528658,0.704,0.704,0.296,0.5503020863622926
14,60,20.0,0.027573793045509835,0.628,0.628,0.372,0.22059034436407865
14,90,20.0,0.04886632183060847,0.68,0.68,0.32,0.3909305746448678
14,120,20.0,0.06934571758518425,0.76,0.76,0.24,0.554765740681474
15,60,20.0,0.04043182634043826,0.644,0.644,0.356,0.323454610723506
15,90,20.0,0.0629807999343108,0.72,0.72,0.28,0.5038463994744863
15,120,20.0,0.07958306918523667,0.776,0.776,0.224,0.6366645534818934
16,60,20.0,0.03436119369946021,0.636,0.636,0.364,0.2748895495956816
16,90,20.0,0.059109082342337804,0.716,0.716,0.284,0.47287265873870243
16,120,20.0,0.07781404751236733,0.78,0.78,0.22,0.6225123800989385
17,60,20.0,0.038581964358104515,0.608,0.608,0.392,0.30865571486483606
17,90,20.0,0.06076806640947012,0.664,0.664,0.336,0.48614453127576096
17,120,20.0,0.07919513884443877,0.748,0.748,0.252,0.6335611107555101
18,60,20.0,0.027682573769442498,0.58,0.58,0.42,0.22146059015553995
18,90,20.0,0.04885529629004635,0.632,0.632,0.368,0.3908423703203708
18,120,20.0,0.06614027719357603,0.668,0.668,0.332,0.5291222175486082
19,60,20.0,0.02246299299643689,0.568,0.568,0.432,0.17970394397149514
19,90,20.0,0.047406935126079984,0.676,0.676,0.324,0.37925548100863987
19,120,20.0,0.06804792849675237,0.748,0.748,0.252,0.544383427974019
20,60,20.0,0.0355210134897267,0.636,0.636,0.364,0.2841681079178136
20,90,20.0,0.05613423830573547,0.672,0.672,0.328,0.4490739064458838
20,120,20.0,0.07346533198154127,0.724,0.724,0.276,0.5877226558523302
21,60,20.0,0.030904251477522463,0.62,0.62,0.38,0.24723401182017976
21,90,20.0,0.05358970880797996,0.688,0.688,0.312,0.42871767046383963
21,120,20.0,0.07331545950262587,0.756,0.756,0.244,0.586523676021007
22,60,20.0,0.029679925697155916,0.62,0.62,0.38,0.2374394055772473
22,90,20.0,0.05145234919766701,0.708,0.708,0.292,0.4116187935813361
22,120,20.0,0.07118355343769718,0.74,0.74,0.26,0.5694684275015774
23,60,20.0,0.03814189522925602,0.632,0.632,0.368,0.30513516183404815
23,90,20.0,0.060277923153961695,0.692,0.692,0.308,0.48222338523169356
23,120,20.0,0.07887959609306183,0.74,0.74,0.26,0.6310367687444947
24,60,20.0,0.034907887942990046,0.616,0.616,0.384,0.27926310354392037
24,90,20.0,0.05729421010333768,0.712,0.712,0.288,0.45835368082670147
24,120,20.0,0.07646646801266754,0.76,0.76,0.24,0.6117317441013403
25,60,20.0,0.037500947054556324,0.636,0.636,0.364,0.3000075764364506
25,90,20.0,0.061729253134300194,0.696,0.696,0.304,0.4938340250744015
25,120,20.0,0.0805480085450938,0.76,0.76,0.24,0.6443840683607504
26,60,20.0,0.03889961915125137,0.608,0.608,0.392,0.31119695321001095
26,90,20.0,0.06044603798983241,0.676,0.676,0.324,0.48356830391865924
26,120,20.0,0.07844794975661648,0.752,0.752,0.248,0.6275835980529318
27,60,20.0,0.03879071947875996,0.636,0.636,0.364,0.31032575583007965
27,90,20.0,0.06319529310256763,0.732,0.732,0.268,0.5055623448205412
27,120,20.0,0.08339895289454195,0.78,0.78,0.22,0.6671916231563355
28,60,20.0,0.0368521476082272,0.628,0.628,0.372,0.29481718086581754
28,90,20.0,0.05699781641545068,0.704,0.704,0.296,0.45598253132360544
28,120,20.0,0.07363855339197704,0.756,0.756,0.244,0.5891084271358163
29,60,20.0,0.040384966875760105,0.648,0.648,0.352,0.3230797350060809
29,90,20.0,0.06336109000133837,0.704,0.704,0.296,0.506888720010707
29,120,20.0,0.08095990244846579,0.756,0.756,0.244,0.6476792195877265
