horizon,raw_mean,raw_ci_lower,raw_ci_upper,centered_mean,centered_ci_lower,centered_ci_upper
2025,91.75137597080145,91.442444,92.056915,-0.029873037992455356,-0.3332853,0.27874178
2026,91.80084387001557,91.49153,92.107086,-0.0257734649559236,-0.32942912,0.28362584
2027,91.84450099413547,91.53463,92.15136,-0.027357647300300488,-0.3316047,0.28160113
2028,91.89069068208246,91.581184,92.197266,-0.0265952974158692,-0.33112875,0.28338292
2029,91.93278631606853,91.622,92.240326,-0.029826929826657456,-0.33460125,0.27894592
2030,91.97652714956732,91.665665,92.28556,-0.03127944831759151,-0.33753583,0.27847558
2031,92.02134797290616,91.71204,92.32752,-0.031717731641015,-0.3362049,0.27655748
2032,92.07094342176896,91.76002,92.37734,-0.02748697080761327,-0.33166695,0.28208798
2033,92.11585508043827,91.803734,92.421295,-0.027996975925695878,-0.33167115,0.28077704
2034,92.16003636022455,91.85041,92.46325,-0.02915891980297053,-0.33118594,0.2770621
2035,92.20318894284314,91.89176,92.508415,-0.031342032480758585,-0.33551154,0.2771077
2036,92.24768661444126,91.93641,92.55334,-0.03213663668254781,-0.33636588,0.2761732
2037,92.29457851278745,91.98131,92.602036,-0.030883188047109284,-0.33685246,0.27924228
2038,92.339063938598,92.02471,92.64632,-0.031779651772529796,-0.33819914,0.27839324
2039,92.38395547522651,92.07095,92.68964,-0.03228147037819747,-0.33879498,0.2776098
2040,92.4282775333533,92.11412,92.73496,-0.033321785276706054,-0.34234384,0.27680922
2041,92.47251016080538,92.15765,92.77766,-0.034482305777352146,-0.34261087,0.2753162
2042,92.5173185589073,92.20132,92.82292,-0.03502054238770647,-0.34290412,0.2759316
2043,92.56435559606604,92.24713,92.872345,-0.0332098280622184,-0.34321943,0.279198
2044,92.60941022733304,92.291306,92.91977,-0.03350901333614042,-0.34491575,0.2790157
2045,92.65508440901512,92.337364,92.964516,-0.03316265808848879,-0.34521744,0.27913472
2046,92.70495264915556,92.38919,93.01324,-0.028674621647888345,-0.33992702,0.2818931
2047,92.7476920914804,92.42997,93.058044,-0.031457644709177175,-0.34359422,0.28025466
2048,92.79555503772684,92.47828,93.10765,-0.028867007800504253,-0.34133705,0.28601107
2049,92.84523061414505,92.529366,93.15591,-0.024667668796306986,-0.33606684,0.28841102
2050,92.88933606459902,92.57348,93.199265,-0.02578983675190295,-0.33540094,0.28620374
2051,92.93976772630408,92.62488,93.249756,-0.02060853240839274,-0.33097115,0.29057994
2052,92.99039055502968,92.67463,93.29967,-0.015283969452908006,-0.3258531,0.29603806
2053,93.03357861696041,92.71812,93.34258,-0.017417222227280003,-0.32754213,0.29357907
2054,93.08018499389544,92.76454,93.38897,-0.0160547357523329,-0.32674128,0.2948487
2055,93.12780162274147,92.812386,93.43665,-0.013730717463620161,-0.3245578,0.29543406
2056,93.18032432290207,92.8649,93.48816,-0.00633248501821605,-0.31645465,0.30351594
2057,93.22259021012002,92.90904,93.528534,-0.009396442758025293,-0.31771693,0.2982906
2058,93.26576511576387,92.95181,93.57229,-0.01164018909225537,-0.32074463,0.2962935
2059,93.31008942987411,92.99487,93.617,-0.012525526184045075,-0.3235653,0.29646713
2060,93.35176239035464,93.036446,93.65821,-0.01600598204581305,-0.32513097,0.2922503
2061,93.39925575010275,93.08494,93.705734,-0.013592581144056048,-0.3227927,0.2975187
2062,93.44644228276663,93.13187,93.75581,-0.011787521577344988,-0.3222831,0.29940024
2063,93.492673419545,93.1767,93.80236,-0.01058190423393824,-0.32197887,0.3015315
2064,93.54186167662324,93.22586,93.85299,-0.0066608962134885544,-0.31972033,0.30566517
2065,93.58623799367338,93.27086,93.89661,-0.00770740029024745,-0.32022077,0.3048935
2066,93.62829802060341,93.31326,93.93861,-0.010937078161124781,-0.3221439,0.30093223
2067,93.67602606932128,93.36229,93.98762,-0.008639796663578659,-0.31878334,0.30307135
2068,93.72101762205048,93.406075,94.03285,-0.008825224265911952,-0.3200401,0.3051097
2069,93.76281761628441,93.44642,94.07527,-0.012339976562948255,-0.32533646,0.30205435
2070,93.80839721676739,93.49533,94.11945,-0.012125450722309413,-0.32198915,0.30153877
2071,93.85461871642023,93.54233,94.16584,-0.011266561849225788,-0.3211977,0.3033792
2072,93.89650495005598,93.5841,94.20787,-0.014995919265419969,-0.32387117,0.29837087
2073,93.94238584024514,93.63057,94.25415,-0.014319529143957946,-0.32258603,0.3002713
2074,93.98965138402522,93.67897,94.299484,-0.012320306988486306,-0.31909674,0.3012998
2075,94.03413382337187,93.724655,94.343124,-0.0132475985511757,-0.31982964,0.29845804
2076,94.0797096350508,93.77019,94.38869,-0.012929077288053198,-0.31903487,0.29799324
2077,94.12851797726115,93.81805,94.43881,-0.00948288186829384,-0.31758037,0.30083147
2078,94.17066246850752,93.860306,94.48014,-0.012472952564370175,-0.32085523,0.29923424
2079,94.2191666832871,93.9092,94.52721,-0.009299127030204074,-0.31600937,0.3007258
2080,94.26877839684721,93.95912,94.57718,-0.00496449802671756,-0.31192893,0.30514827
2081,94.31067969338326,93.999176,94.61986,-0.008416167697788001,-0.31653532,0.30208686
2082,94.35842349893689,94.04635,94.66838,-0.006134741812047292,-0.31474346,0.30477896
2083,94.4060529807707,94.09217,94.71744,-0.0037312366089511198,-0.3137326,0.30859122
2084,94.44944895324004,94.13379,94.76219,-0.0055801329218243,-0.31762436,0.3082313
2085,94.49220115093365,94.174164,94.80651,-0.008048205584924866,-0.32121643,0.3069918
2086,94.53731665349788,94.22231,94.849396,-0.008274430572923484,-0.31889418,0.3050707
2087,94.58547335470413,94.27006,94.89912,-0.005330065985306026,-0.31806138,0.30923983
2088,94.62938719392163,94.31359,94.94144,-0.006761155337083998,-0.31859177,0.3068522
2089,94.67727450397419,94.363014,94.98701,-0.004248209383274655,-0.3143551,0.30827576
2090,94.72031148415195,94.40535,95.030106,-0.006517283768512466,-0.3171464,0.30512264
2091,94.76285140209275,94.44734,95.07269,-0.009082120585143202,-0.3196396,0.3034812
2092,94.80603158390423,94.488266,95.11746,-0.011478050606218504,-0.32606792,0.30372724
2093,94.85389211582465,94.537,95.1647,-0.008518892147788304,-0.32120785,0.3065328
2094,94.90026136465718,94.58239,95.21219,-0.007533234350934301,-0.32184103,0.30858138
2095,94.94749811724249,94.62844,95.260925,-0.005910686645531546,-0.32094023,0.3104356
2096,94.99378248506964,94.675766,95.306564,-0.0049147297894853136,-0.31996146,0.3099439
2097,95.03784416562546,94.719154,95.351875,-0.006279702091293765,-0.32246202,0.30989805
2098,95.0849043767419,94.7656,95.39861,-0.0044975506895545934,-0.32085675,0.3128752
2099,95.12738910677726,94.8083,95.44209,-0.0071356875819318065,-0.32309914,0.31018907
2100,95.16736453590572,94.84981,95.48165,-0.01251498301572624,-0.32815543,0.3042352
2101,95.21227247572038,94.892815,95.52543,-0.013167301329081504,-0.3290008,0.30287117
2102,95.2522290549557,94.93254,95.56438,-0.018605520063094665,-0.33370087,0.298082
2103,95.29923660603481,94.98105,95.61076,-0.016723992142493135,-0.3308597,0.29871076
2104,95.34459878406591,95.02778,95.65387,-0.016754341063457343,-0.32848123,0.29529512
2105,95.38976481109202,95.07336,95.69627,-0.01687156089127273,-0.32567856,0.2932156
2106,95.43614648546087,95.12026,95.743385,-0.01562244585990138,-0.32418206,0.2949944
2107,95.47808948999293,95.16117,95.787,-0.01899851876507706,-0.32863516,0.29376832
2108,95.52122500197608,95.20442,95.83083,-0.02141567271381728,-0.33206543,0.29065144
2109,95.56741265863214,95.252014,95.87491,-0.02047394419037448,-0.3292792,0.2891487
2110,95.61263763687059,95.29776,95.91941,-0.020560083877088842,-0.32984027,0.29028043
2111,95.65941247604071,95.3451,95.966156,-0.019083762416370255,-0.32794958,0.29160836
2112,95.70592466944875,95.39281,96.01112,-0.017811820268408097,-0.32421696,0.29025537
2113,95.75036570088858,95.43843,96.05499,-0.018601711083951568,-0.3249676,0.2883952
