requested_R_exp,requested_p_on,n_seeds,realized_R_exp_mean,realized_R_exp_ci_lower,realized_R_exp_ci_upper,realized_R_exp_n_finite,realized_R_exp_status,realized_p_on_mean,realized_p_on_ci_lower,realized_p_on_ci_upper,realized_p_on_n_finite,realized_p_on_status,mean_signed_increment_mean,mean_signed_increment_ci_lower,mean_signed_increment_ci_upper,mean_signed_increment_n_finite,mean_signed_increment_status,mean_active_increment_mean,mean_active_increment_ci_lower,mean_active_increment_ci_upper,mean_active_increment_n_finite,mean_active_increment_status,mean_inactive_increment_mean,mean_inactive_increment_ci_lower,mean_inactive_increment_ci_upper,mean_inactive_increment_n_finite,mean_inactive_increment_status,mean_score_gap_mean,mean_score_gap_ci_lower,mean_score_gap_ci_upper,mean_score_gap_n_finite,mean_score_gap_status,frequency_auc_mean,frequency_auc_ci_lower,frequency_auc_ci_upper,frequency_auc_n_finite,frequency_auc_status,score_auc_mean,score_auc_ci_lower,score_auc_ci_upper,score_auc_n_finite,score_auc_status,matched_pair_misordering_mean,matched_pair_misordering_ci_lower,matched_pair_misordering_ci_upper,matched_pair_misordering_n_finite,matched_pair_misordering_status
0.75,0.4,30,0.7498015484184656,0.7447518657271619,0.754662429366233,30,ok,0.39989999999999987,0.3971916666666667,0.40248333333333336,30,ok,0.01721257890991041,0.017096059596781038,0.017321215255694754,30,ok,0.04289072655389691,0.04265839489773558,0.043141679323007644,30,ok,0.00010515013027211358,-9.46410099242312e-06,0.00022137539431744567,30,ok,2.394229552453205,2.375116459443909,2.4138141421269026,30,ok,0.000476458333333327,0.0003641624999999891,0.0006079817708333329,30,ok,0.9999916666666667,0.9999856250000002,0.999996,30,ok,0.0,0.0,0.0,30,ok
0.75,0.5,30,0.7516260882325854,0.7475296614832423,0.755772541725366,30,ok,0.5010916666666667,0.4983164583333333,0.5039416666666666,30,ok,0.01545666954262177,0.015342314489186135,0.01556325734420175,30,ok,0.030768452090241424,0.0305410837904397,0.030997980422854187,30,ok,8.103965067825693e-05,-7.114309830451376e-05,0.0002271001675252306,30,ok,1.2297221271930847,1.2132748294162081,1.2469910506830901,30,ok,0.0005056666666666585,0.0003781329166666475,0.0006694858333333268,30,ok,0.9942927333333333,0.9930604841666666,0.9952361499999999,30,ok,0.005483333333333335,0.004516666666666668,0.0065333333333333354,30,ok
0.75,0.6,30,0.7522596038623751,0.7490144378779865,0.7556122610797861,30,ok,0.6018166666666666,0.599175,0.604491875,30,ok,0.013872227784939977,0.013765754635043183,0.01397854150472743,30,ok,0.02301341640925893,0.022837147101926265,0.023194583143323382,30,ok,5.714287611183262e-05,-0.00010182016616662423,0.0002062348012992725,30,ok,0.5530066949398809,0.5418138766143847,0.5642528728426726,30,ok,0.0004810833333333267,0.0003832885416666547,0.0005911281249999953,30,ok,0.8864125833333333,0.8797581541666668,0.8928942854166667,30,ok,0.11408333333333334,0.10718333333333335,0.12103375000000001,30,ok
0.75,0.7,30,0.7523637162366524,0.7496380674658274,0.7549438342700636,30,ok,0.6998833333333334,0.69745,0.7023168750000002,30,ok,0.0125470100783532,0.012415223497755196,0.012674172902002215,30,ok,0.01791568440869644,0.017741506213860163,0.018089689847913454,30,ok,2.7240046569454686e-05,-0.00013158333422537205,0.00017906415863010332,30,ok,0.15168170832302988,0.14440792480256867,0.1594880369483301,30,ok,0.00046396416666666103,0.0003847507916666523,0.0005456746250000027,30,ok,0.6447260133333333,0.6375077063333333,0.6522918034583334,30,ok,0.3533333333333334,0.34503291666666663,0.36115041666666675,30,ok
0.75,0.8,30,0.7509430558694419,0.7487354841703222,0.7533162286235993,30,ok,0.8010166666666666,0.7986166666666665,0.8035416666666666,30,ok,0.011365792589933863,0.011242370394084513,0.011490851121094868,30,ok,0.014179176779546715,0.014016969829348799,0.014342329592342606,30,ok,4.6843688739487174e-05,-0.0001552215081161806,0.0002393117948535867,30,ok,-0.11253435585913142,-0.11855196766988306,-0.10638633484707159,30,ok,0.00043573958333332157,0.00036522708333331863,0.0005087018229166543,30,ok,0.3918817083333333,0.38596485520833335,0.39788415416666656,30,ok,0.6073166666666666,0.5998329166666667,0.6145170833333333,30,ok
0.75,0.9,30,0.754549600506577,0.7530911830532114,0.7560611903867461,30,ok,0.9009666666666665,0.8992333333333332,0.9027418750000002,30,ok,0.010536509384581404,0.010407531854192353,0.010650324577371818,30,ok,0.011681748166339906,0.011533683732309114,0.01181335845577883,30,ok,0.00012660269532779197,-0.00010231100155567158,0.0003401925886486382,30,ok,-0.27312922918964383,-0.27756404196162493,-0.26845630424006983,30,ok,0.0005008537499999967,0.00044185710416665613,0.0005616324166666732,30,ok,0.24076561666666668,0.23652125993749995,0.24518130043749994,30,ok,0.7578666666666667,0.75256625,0.7630833333333331,30,ok
0.75,1.0,30,0.749990304280725,0.749817370190211,0.7501557643702874,30,ok,1.0,1.0,1.0,30,ok,0.009587565067610954,0.009468911235048151,0.009706380499193295,30,ok,0.009587565067610954,0.009465721136323917,0.009706307154044615,30,ok,,,,0,not_applicable,-0.38100093539023544,-0.3857366467103568,-0.3760306990797768,30,ok,0.00040499999999997943,0.0003591666666666419,0.0004533333333333167,30,ok,0.15157868333333335,0.14744920125000002,0.15638351083333335,30,ok,0.8476000000000001,0.8418333333333334,0.8527666666666666,30,ok
1.0,0.1,30,1.002226920597502,0.9838624721524128,1.0201952607843403,30,ok,0.10022500000000001,0.09839166666666666,0.10203333333333335,30,ok,0.021891011500553177,0.021445393971382207,0.0223308652995096,30,ok,0.21794947597346548,0.217444013691972,0.21843280910987106,30,ok,5.1452491329328624e-05,-4.4267284787056074e-05,0.0001444038119899793,30,ok,31.451353158129702,30.84995738104138,32.02737549104704,30,ok,0.5156203333333332,0.43539100000000003,0.5960534833333334,30,ok,1.0,1.0,1.0,30,ok,0.0,0.0,0.0,30,ok
1.0,0.2,30,0.9962340717312533,0.9868962923451168,1.0056826121534952,30,ok,0.19925,0.19731645833333328,0.2011833333333333,30,ok,0.026125294383048225,0.025826389546671994,0.026422135339053104,30,ok,0.13086288828109083,0.13050511668435727,0.1311882424382441,30,ok,6.367541921902121e-05,-4.299482551275366e-05,0.0001658194474407639,30,ok,16.68228632521533,16.51868503194483,16.848537314107666,30,ok,0.48622666666666675,0.4380010166666668,0.5339215,30,ok,1.0,1.0,1.0,30,ok,0.0,0.0,0.0,30,ok
1.0,0.3,30,1.000373148401162,0.9921917556630747,1.0084665034243157,30,ok,0.2997416666666667,0.2972,0.30221666666666663,30,ok,0.02641793552716692,0.02616373379275287,0.026670172878273134,30,ok,0.08795131039750088,0.08761823733929523,0.08828219398586548,30,ok,8.043695866649004e-05,-2.803928949544801e-05,0.00018863452584426082,30,ok,9.854491996775918,9.7700185095658,9.939643281530033,30,ok,0.5063581695833332,0.4652101277604167,0.5466797387083333,30,ok,1.0,1.0,1.0,30,ok,0.0,0.0,0.0,30,ok
