horizon,empirical_gap_mean,empirical_gap_ci_lower,empirical_gap_ci_upper,predicted_gap_mean,predicted_gap_ci_lower,predicted_gap_ci_upper,pair_error_mean,pair_error_ci_lower,pair_error_ci_upper
92,0.4202381668408464,0.38888055,0.451463,0.3845995518538351,0.38277665,0.38651097,0.008500000000000004,0.0062,0.0112
93,0.42321693154717605,0.3924262,0.4538428,0.38877998176528966,0.38693726,0.39071217,0.008233333333333336,0.0059,0.010966667
94,0.43161750693226786,0.40133524,0.46126592,0.39296041167674445,0.39109787,0.39491338,0.008133333333333334,0.00585,0.01085
95,0.43582511982087146,0.40523687,0.46563295,0.3971408415881992,0.3952585,0.39911458,0.0077166666666666685,0.0056,0.010316666
96,0.4394316224434268,0.40885687,0.4687694,0.4013212714996539,0.3994191,0.40331578,0.007733333333333336,0.0055166665,0.010433333
97,0.4395768602092323,0.4089931,0.46895525,0.40550170141110853,0.4035797,0.407517,0.007733333333333336,0.0055166665,0.010433333
98,0.44431147594671394,0.41389498,0.47404134,0.40968213132256337,0.40774032,0.4117182,0.007483333333333337,0.0054166666,0.010083334
99,0.44808191157998384,0.4177357,0.47786483,0.41386256123401816,0.41190097,0.4159194,0.007483333333333337,0.0054,0.0101
100,0.4546362020952527,0.42445734,0.4845672,0.41804299114547283,0.41606158,0.4201206,0.006950000000000003,0.0050666668,0.009433334
101,0.4580559608493006,0.42739943,0.48819488,0.4222234210569275,0.4202222,0.4243218,0.00666666666666667,0.0048,0.00915
102,0.4631270770937039,0.43218726,0.49380812,0.4264038509683821,0.4243828,0.428523,0.006400000000000003,0.00456625,0.008866667
103,0.46784162547689834,0.43588886,0.49928918,0.430584280879837,0.42854342,0.43272424,0.00636666666666667,0.0045333332,0.008833333
104,0.47047134241862837,0.43808788,0.5020281,0.4347647107912917,0.43270403,0.43692544,0.006183333333333336,0.004333333,0.008683333
105,0.4728023901486537,0.4408545,0.50389355,0.4389451407027464,0.43686464,0.44112664,0.006100000000000003,0.00425,0.00863375
106,0.4777866974203389,0.44521073,0.50972646,0.44312557061420116,0.44102526,0.44532785,0.005983333333333335,0.0041166665,0.0085
107,0.47934575972416626,0.4472796,0.5109087,0.44730600052565583,0.44518587,0.44952905,0.005733333333333335,0.004,0.008166667
108,0.48326550116687567,0.4512634,0.51446724,0.4514864304371106,0.4493465,0.45373026,0.005733333333333335,0.0039833332,0.008166667
109,0.48887007138230615,0.45679957,0.5204618,0.4556668603485654,0.45350713,0.45793146,0.005733333333333335,0.0039833332,0.008167083
110,0.49075708063390283,0.45833123,0.5221047,0.45984729026002014,0.45766774,0.46213266,0.005650000000000001,0.003916667,0.008083333
